Date,Open,High,Low,Close,Volume
01-Oct-04,"1,114.58","1,142.05","1,090.29","1,130.20","31,511,000,000"
01-Sep-04,"1,104.24","1,131.54","1,099.18","1,114.58","26,829,870,000"
01-Aug-04,"1,101.72","1,109.68","1,060.72","1,104.24","26,586,800,000"
01-Jul-04,"1,140.84","1,140.84","1,078.78","1,101.72","29,285,600,000"
01-Jun-04,"1,120.68","1,146.34","1,113.32","1,140.84","27,529,500,000"
01-May-04,"1,107.30","1,127.74","1,076.32","1,120.68","29,326,400,000"
01-Apr-04,"1,126.21","1,150.57","1,107.23","1,107.30","31,611,900,000"
01-Mar-04,"1,144.94","1,163.23","1,087.16","1,126.21","33,597,900,000"
01-Feb-04,"1,131.13","1,158.98","1,124.44","1,144.94","27,985,600,000"
01-Jan-04,"1,111.92","1,155.38","1,105.08","1,131.13","32,820,000,000"
01-Dec-03,"1,058.20","1,112.56","1,053.41","1,111.92","27,839,130,000"
01-Nov-03,"1,050.71","1,063.65","1,031.20","1,058.20","24,463,220,000"
01-Oct-03,995.97,"1,053.79",995.97,"1,050.71","32,298,500,000"
01-Sep-03,"1,008.01","1,040.29",990.36,995.97,"29,940,110,000"
01-Aug-03,990.31,"1,011.01",960.84,"1,008.01","24,881,470,000"
01-Jul-03,974.5,"1,015.41",962.1,990.31,"31,553,200,000"
01-Jun-03,963.59,"1,015.33",963.59,974.5,"31,219,400,000"
01-May-03,916.92,965.38,902.83,963.59,"30,952,100,000"
01-Apr-03,848.18,924.24,847.85,916.92,"29,669,610,000"
01-Mar-03,841.15,895.9,788.9,848.18,"30,080,030,000"
01-Feb-03,855.7,864.64,806.29,841.15,"25,235,300,000"
01-Jan-03,879.82,935.05,840.34,855.7,"30,749,580,000"
01-Dec-02,936.31,954.28,869.45,879.82,"25,993,640,000"
01-Nov-02,885.76,941.82,872.05,936.31,"29,200,960,000"
01-Oct-02,815.28,907.44,768.63,885.76,"37,856,310,000"
01-Sep-02,916.07,924.02,800.2,815.28,"27,723,710,000"
01-Aug-02,911.62,965,833.44,916.07,"29,298,400,000"
01-Jul-02,989.82,994.46,775.68,911.62,"42,228,720,000"
01-Jun-02,"1,067.14","1,070.74",952.92,989.82,"29,981,510,000"
01-May-02,"1,076.92","1,106.59","1,048.96","1,067.14","26,905,500,000"
01-Apr-02,"1,147.39","1,147.84","1,063.46","1,076.92","28,568,900,000"
01-Mar-02,"1,106.73","1,173.94","1,106.73","1,147.39","26,563,200,000"
01-Feb-02,"1,130.20","1,130.20","1,074.36","1,106.73","26,047,600,000"
01-Jan-02,"1,148.08","1,176.97","1,081.66","1,130.20","29,746,200,000"
01-Dec-01,"1,139.45","1,173.62","1,114.53","1,148.08","25,128,570,000"
01-Nov-01,"1,059.78","1,163.38","1,054.31","1,139.45","26,330,000,000"
01-Oct-01,"1,040.94","1,110.61","1,026.76","1,059.78","29,951,280,000"
01-Sep-01,"1,133.58","1,155.40",944.75,"1,040.94","25,025,290,000"
01-Aug-01,"1,211.23","1,226.27","1,124.87","1,133.58","23,359,200,000"
01-Jul-01,"1,224.42","1,239.78","1,165.54","1,211.23","23,793,710,000"
01-Jun-01,"1,255.82","1,286.62","1,203.03","1,224.38","24,748,030,000"
01-May-01,"1,249.46","1,315.93","1,232.00","1,255.82","24,525,900,000"
01-Apr-01,"1,160.33","1,269.30","1,091.99","1,249.46","25,409,990,000"
01-Mar-01,"1,239.94","1,267.42","1,081.19","1,160.33","27,806,610,000"
01-Feb-01,"1,366.01","1,376.38","1,215.44","1,239.94","21,644,400,000"
01-Jan-01,"1,320.28","1,383.37","1,274.62","1,366.01","27,829,800,000"
01-Dec-00,"1,314.95","1,389.05","1,254.07","1,320.28","23,610,800,000"
01-Nov-00,"1,429.40","1,438.46","1,294.90","1,314.95","20,532,300,000"
01-Oct-00,"1,436.52","1,454.82","1,305.79","1,429.40","25,951,400,000"
01-Sep-00,"1,517.68","1,530.09","1,419.44","1,436.51","20,838,300,000"
01-Aug-00,"1,430.83","1,525.21","1,425.43","1,517.68","20,363,700,000"
01-Jul-00,"1,454.60","1,517.32","1,413.89","1,430.83","19,089,100,000"
01-Jun-00,"1,420.60","1,488.93","1,420.60","1,454.60","21,738,300,000"
01-May-00,"1,452.43","1,481.51","1,361.09","1,420.60","19,898,300,000"
01-Apr-00,"1,498.58","1,527.19","1,339.40","1,452.43","20,106,460,000"
01-Mar-00,"1,366.42","1,552.87","1,346.62","1,498.58","26,156,200,000"
01-Feb-00,"1,394.46","1,444.55","1,325.07","1,366.42","20,912,000,000"
01-Jan-00,"1,469.25","1,478.00","1,350.14","1,394.46","21,494,400,000"
01-Dec-99,"1,388.91","1,473.10","1,387.38","1,469.25","19,640,690,000"
01-Nov-99,"1,362.93","1,425.31","1,346.41","1,388.91","18,384,820,000"
01-Oct-99,"1,282.71","1,373.17","1,233.70","1,362.93","18,832,000,000"
01-Sep-99,"1,320.41","1,361.39","1,256.26","1,282.71","16,438,700,000"
01-Aug-99,"1,328.72","1,382.84","1,267.73","1,320.41","15,818,550,000"
01-Jul-99,"1,372.71","1,420.33","1,328.49","1,328.72","15,332,930,000"
01-Jun-99,"1,301.84","1,372.93","1,277.47","1,372.71","16,079,170,000"
01-May-99,"1,335.18","1,375.98","1,277.31","1,301.84","15,880,260,000"
01-Apr-99,"1,286.37","1,371.56","1,282.56","1,335.18","18,523,200,000"
01-Mar-99,"1,238.33","1,323.82","1,216.03","1,286.37","18,002,500,000"
01-Feb-99,"1,279.64","1,283.84","1,211.89","1,238.33","14,555,860,000"
01-Jan-99,"1,229.23","1,280.37","1,205.46","1,279.64","16,213,500,000"
01-Dec-98,"1,163.63","1,244.93","1,136.89","1,229.23","15,181,450,000"
01-Nov-98,"1,098.67","1,192.97","1,098.67","1,163.63","13,451,280,000"
01-Oct-98,"1,017.01","1,103.78",923.32,"1,098.67","18,001,650,000"
01-Sep-98,957.28,"1,066.11",939.98,"1,017.01","16,714,080,000"
01-Aug-98,"1,120.67","1,121.79",957.28,957.28,"15,071,550,000"
01-Jul-98,"1,133.84","1,190.58","1,114.30","1,120.67","14,194,800,000"
01-Jun-98,"1,090.82","1,145.15","1,074.67","1,133.84","13,551,970,000"
01-May-98,"1,111.75","1,130.52","1,074.39","1,090.82","11,477,140,000"
01-Apr-98,"1,101.75","1,132.98","1,076.70","1,111.75","13,656,060,000"
01-Mar-98,"1,049.34","1,113.07","1,030.87","1,101.75","13,719,590,000"
01-Feb-98,980.28,"1,051.66",980.28,"1,049.34","11,656,550,000"
01-Jan-98,970.43,992.65,912.83,980.28,"12,733,830,000"
01-Dec-97,955.4,986.25,924.92,970.43,"11,958,880,000"
01-Nov-97,914.62,964.55,900.61,955.4,"10,173,620,000"
01-Oct-97,947.28,983.12,855.27,914.62,"14,017,260,000"
01-Sep-97,899.47,960.59,899.47,947.28,"11,383,000,000"
01-Aug-97,954.29,964.17,893.34,899.47,"10,606,100,000"
01-Jul-97,885.14,957.73,884.54,954.31,"11,958,120,000"
01-Jun-97,848.28,902.09,838.82,885.14,"10,857,950,000"
01-May-97,801.34,851.87,793.21,848.28,"10,106,650,000"
01-Apr-97,757.12,804.13,733.54,801.34,"10,454,880,000"
